es. 1 parte 2 
- esempio 1)
Tipologia stanze in albergo con diverse strutture:

Nome struttura, Tipologia camera, Descrizione, Prezzo, Minimo notti
"Blue sky, matrimoniale, """"""Camera confortevole, spaziosa e con possibilità  di terzo letto. /n Descritta come un """"gioiellino"""" dai nostri ospiti."""""", 250€‚ 5  /n"
"Blue sky, singola, ""Camera accogliente dotata di minibar, phon e ciabatte."", 120€, ""3 notti con sconto del 10% per pernottamenti più lunghi."" /n"
"Diamond, suite deluxe, ""Composta da due salotti e tre camere matrimoniali"", 870€, 5 notti"
"Crystal, matrimoniale, ""Camera accogliente e confortevole"", 150€, 2 /n"
"Crystal, tripla, ""Camera deluxe, spaziosa e vista mare"", 200€, 3 /n"
"Diamond, matrimoniale deluxe,""""""Confortevole, divanetto e vasca """"Jacuzzy"""" """""", 365€, 5 /n"
"Diamond, doppia letti singoli, ""Camera spaziosa con due letti separati"", 130 €, 3 /n"
"Blue sky, suite, ""Per quattro ospiti, una camera tripla e un salottino con letto singolo"", 310€, 3 /n"
"Blue sky, matrimoniale, ""letto alla francese"", 180€, 2 /n"
"Crystal, matrimoniale, ""disponibilità terzo letto"", 190€, 2 "
